Feature,Importance
TFIDF_berat,0.0012325960340886417
TFIDF_semi,0.0012269079485629519
TFIDF_supra,0.0012007275268896016
TFIDF_spontan,0.0011688737818495612
TFIDF_resesi,0.0011618098841608686
TFIDF_bop,0.001150896884957265
TFIDF_posterior,0.0011449104708109528
TFIDF_sebelah,0.001136098326393301
TFIDF_46,0.0011262222003404784
TFIDF_type,0.0011215972652897685
TFIDF_hiperemis,0.0011117516922248484
TFIDF_bilateral,0.0011076113446436054
TFIDF_kecil,0.0010962261937424098
TFIDF_bukal,0.0010930703067696494
TFIDF_horizontal,0.0010763853667295573
TFIDF_transparan,0.0010650737367352452
TFIDF_tanpa,0.0010507734363869826
TFIDF_5mm,0.0010073526641368954
TFIDF_berbaring,0.0010030737764268193
TFIDF_derajat,0.0010012586515376488
TFIDF_nekrosis,0.0009860122797485916
TFIDF_drainase,0.0009729182141854194
TFIDF_referal,0.0009702819920285207
TFIDF_hebat,0.0009594450690571508
TFIDF_jaringan,0.0009462493726076369
TFIDF_enamel,0.0009372054748465315
TFIDF_pembengkakan,0.000934433500373143
TFIDF_fistula,0.000929619664151759
TFIDF_maksila,0.0009264993507313268
TFIDF_periapikal,0.0009146786460132131
TFIDF_cheilitis,0.0008933949859775605
TFIDF_overjet,0.0008686382480925865
TFIDF_besar,0.0008561257136495583
TFIDF_pemeriksaan,0.0008530231380064338
TFIDF_timbul,0.0008429219894430438
TFIDF_socket,0.0007998622814566263
TFIDF_periodontal,0.0007939548158471754
TFIDF_menggertakkan,0.0007879182468599806
TFIDF_mobilitas,0.000766149559345951
TFIDF_aus,0.000764823287783781
TFIDF_seminggu,0.0007462778131293713
TFIDF_point,0.0007222421274178108
TFIDF_es,0.0007092754464829254
TFIDF_belakangnya,0.0007005308162321116
TFIDF_perikoronitis,0.000691561977452215
TFIDF_subgingiva,0.0006784590355431395
TFIDF_terkikis,0.0006676708558214614
TFIDF_nad,0.0006653518734771458
TFIDF_mencapai,0.0006539091036680038
TFIDF_ulseratif,0.0006529756520882686
TFIDF_giginya,0.0006383660447908048
TFIDF_cephalgia,0.0006364021521801699
TFIDF_media,0.0006360355331284354
TFIDF_sebagian,0.0006271765076363507
TFIDF_berkepanjangan,0.0006237769182986589
TFIDF_pencabutan,0.000613301826180337
TFIDF_post,0.0006102428680037564
TFIDF_merah,0.0005910975101501235
TFIDF_dry,0.0005890679810597945
TFIDF_geraham,0.0005880426355898047
TFIDF_bisa,0.0005748959494116031
TFIDF_kanan,0.0005700004742724661
TFIDF_probing,0.000543981478654279
TFIDF_tiruan,0.000535297341385242
TFIDF_regio,0.0005324282123349458
TFIDF_sekali,0.0005116788468300356
TFIDF_parah,0.0005058470786906651
TFIDF_miring,0.0005008725059250061
TFIDF_berulang,0.0004998476813394218
TFIDF_melepuh,0.0004933159140237329
TFIDF_baris,0.00046730318530262797
TFIDF_ventral,0.00046573556653406315
TFIDF_bite,0.00045696690478236465
TFIDF_makin,0.0004478297794237235
TFIDF_leher,0.0004459968033747532
TFIDF_facet,0.0004433217941930236
TFIDF_tangan,0.000439303203402035
TFIDF_detik,0.0004220571382135525
TFIDF_satu,0.0004171196509194634
TFIDF_plak,0.00041641236040718094
TFIDF_putih,0.000414995798349917
TFIDF_saya,0.00041338588332884047
TFIDF_clicking,0.00041235069379148224
TFIDF_warna,0.00039976052109648224
TFIDF_bekas,0.0003961275979645346
TFIDF_maseter,0.0003867200441692203
TFIDF_abrasi,0.0003864058052761605
TFIDF_mendekati,0.0003856630555144137
TFIDF_dari,0.00037564136249051115
TFIDF_terbentur,0.00036591322177641135
TFIDF_38,0.00036301519481632215
TFIDF_lalu,0.0003525171465736668
TFIDF_moderat,0.000351792147844667
TFIDF_stomatitis,0.00033972813897694033
TFIDF_deep,0.00033946014083705375
TFIDF_sama,0.00033874210754098345
TFIDF_padahal,0.0003379393011352943
TFIDF_bulan,0.0003327774991861687
TFIDF_terlalu,0.00033027528772166896
TFIDF_benda,0.0003270647598786335
TFIDF_aftosa,0.0003269914878144821
TFIDF_lip,0.0003254729251902153
TFIDF_lidah,0.0003141031675937622
TFIDF_depan,0.00031368736120288314
TFIDF_turun,0.0003127167630006782
TFIDF_sikat,0.00031059506021699945
TFIDF_spasme,0.00031049161055108374
TFIDF_muncul,0.0003055938123308436
TFIDF_tapi,0.0002960253993728936
TFIDF_deviasi,0.00028922234258297474
TFIDF_30,0.0002879524041995618
TFIDF_mandibula,0.00028537535025084426
TFIDF_terekspos,0.0002786348023353608
TFIDF_bercak,0.00027781301006048464
TFIDF_molle,0.0002754729934197217
TFIDF_menyikat,0.0002743415068944766
TFIDF_meskipun,0.0002719612567109873
TFIDF_habis,0.0002717101642996613
TFIDF_akibat,0.00026993337868537644
TFIDF_interproksimal,0.0002694336613039077
TFIDF_minggu,0.00026793737217455424
TFIDF_manis,0.0002634183091840943
TFIDF_hari,0.000261045418803311
TFIDF_keluar,0.000260297243684378
TFIDF_diameter,0.00025728662608775967
TFIDF_positif,0.0002523153677913049
